x,y,z,pr_eig_x,pr_eig_y,pr_eig_z
1600.0,1544.4444440000002,-400.0,1.0,0.0,0.0
1600.5215561808832,1544.4663803216836,-400.91869230362516,0.7090885639190674,0.23835137486457825,0.6636128425598145
1600.7390785830114,1544.598441063949,-401.91880467129073,0.739378809928894,-0.11350395530462265,0.6636533737182617
1600.9848008569625,1544.55766951723,-402.7494849503935,-0.7634027004241943,0.018472040072083473,-0.6456586122512817
1601.1726292100084,1544.9160953806395,-403.48151411983804,-0.6894863843917847,0.2873587906360626,-0.66485595703125
1601.5660234055322,1544.902984241908,-404.17358260964335,-0.7186926007270813,0.2462286800146103,-0.6502709984779358
1601.7110162588865,1545.3186304582302,-404.97803042159694,0.7335587739944458,0.24322178959846497,0.6346137523651123
1602.0381780268494,1545.2271698322547,-405.7303607526884,0.7533687949180603,0.07575758546590805,0.6532198786735535
1602.0975477794248,1545.3111998684428,-406.6197472137304,-0.7477991580963135,0.19858908653259277,-0.6335288286209106
1602.0325091095094,1546.061938274701,-407.50095076454886,0.7337303757667542,-0.23083831369876862,0.6390253305435181
1602.3759095084954,1546.5028370308364,-408.31389606473624,0.6281933188438416,-0.26151320338249207,0.7327919006347656
1602.865432787848,1546.7624036752757,-409.1939306321985,0.6458845138549805,-0.035703305155038834,0.7625998258590698
1603.393926833769,1546.7787364379749,-410.05683014090346,-0.6262393593788147,-0.15283291041851044,-0.7645040154457092
